"Original","Masked","Field","RowIndex"
"On or near Bishopsgate","CH41hlAxajZp","Location","75"
"City of London Police","fLrvQqOIz9do","Reported by","76"
"City of London Police","fLrvQqOIz9do","Falls within","76"
"On or near Bishopsgate","CH41hlAxajZp","Location","76"
"City of London Police","fLrvQqOIz9do","Reported by","77"
"City of London Police","fLrvQqOIz9do","Falls within","77"
"On or near Finch Lane","cW1AWnntcpSD","Location","77"
"City of London Police","fLrvQqOIz9do","Reported by","78"
"City of London Police","fLrvQqOIz9do","Falls within","78"
"On or near Trig Lane","/v28uKeNjIc+","Location","78"
"City of London Police","fLrvQqOIz9do","Reported by","79"
"City of London Police","fLrvQqOIz9do","Falls within","79"
"On or near Langthorn Court","bqNea5aAunio","Location","79"
"City of London Police","fLrvQqOIz9do","Reported by","80"
"City of London Police","fLrvQqOIz9do","Falls within","80"
"On or near Langthorn Court","bqNea5aAunio","Location","80"
"City of London Police","fLrvQqOIz9do","Reported by","81"
"City of London Police","fLrvQqOIz9do","Falls within","81"
"On or near Circus Place","MoKITRuLqSzo","Location","81"
"City of London Police","fLrvQqOIz9do","Reported by","82"
"City of London Police","fLrvQqOIz9do","Falls within","82"
"On or near St Martin's Le Grand","LJ6Jj+dvGPs7","Location","82"
"City of London Police","fLrvQqOIz9do","Reported by","83"
"City of London Police","fLrvQqOIz9do","Falls within","83"
"On or near Moor Lane","+njjHy9WmmYk","Location","83"
"City of London Police","fLrvQqOIz9do","Reported by","84"
"City of London Police","fLrvQqOIz9do","Falls within","84"
"On or near Gophir Lane","kY268mUJnkJG","Location","84"
"City of London Police","fLrvQqOIz9do","Reported by","85"
"City of London Police","fLrvQqOIz9do","Falls within","85"
"On or near Artillery Lane","rpGBkGFkIk2l","Location","85"
"City of London Police","fLrvQqOIz9do","Reported by","86"
"City of London Police","fLrvQqOIz9do","Falls within","86"
"On or near Holborn","vOBhrXUu0TNA","Location","86"
"City of London Police","fLrvQqOIz9do","Reported by","87"
"City of London Police","fLrvQqOIz9do","Falls within","87"
"On or near Bishopsgate","CH41hlAxajZp","Location","87"
"City of London Police","fLrvQqOIz9do","Reported by","88"
"City of London Police","fLrvQqOIz9do","Falls within","88"
"On or near Bread Street","E5ZdBDiaeHVB","Location","88"
"City of London Police","fLrvQqOIz9do","Reported by","89"
"City of London Police","fLrvQqOIz9do","Falls within","89"
"On or near Corbet Court","2eP832Hq9waE","Location","89"
"City of London Police","fLrvQqOIz9do","Reported by","90"
"City of London Police","fLrvQqOIz9do","Falls within","90"
"No location","ToR5xtQyHv2n","Location","90"
"City of London Police","fLrvQqOIz9do","Reported by","91"
"City of London Police","fLrvQqOIz9do","Falls within","91"
"On or near Crutched Friars","Xx1u9dOHmIgj","Location","91"
"City of London Police","fLrvQqOIz9do","Reported by","92"
"City of London Police","fLrvQqOIz9do","Falls within","92"
"On or near Gracechurch Street","8wnWaGjoIcFf","Location","92"
"City of London Police","fLrvQqOIz9do","Reported by","93"
"City of London Police","fLrvQqOIz9do","Falls within","93"
"On or near Gracechurch Street","8wnWaGjoIcFf","Location","93"
"City of London Police","fLrvQqOIz9do","Reported by","94"
"City of London Police","fLrvQqOIz9do","Falls within","94"
"On or near Lombard Street","6YZPZPnj3KKK","Location","94"
"City of London Police","fLrvQqOIz9do","Reported by","95"
"City of London Police","fLrvQqOIz9do","Falls within","95"
"On or near Finch Lane","cW1AWnntcpSD","Location","95"
"City of London Police","fLrvQqOIz9do","Reported by","96"
"City of London Police","fLrvQqOIz9do","Falls within","96"
"On or near Holborn","vOBhrXUu0TNA","Location","96"
"City of London Police","fLrvQqOIz9do","Reported by","97"
"City of London Police","fLrvQqOIz9do","Falls within","97"
"No location","ToR5xtQyHv2n","Location","97"
"City of London Police","fLrvQqOIz9do","Reported by","98"
"City of London Police","fLrvQqOIz9do","Falls within","98"
"On or near Supermarket","R0V5P6N9Gx/1","Location","98"
"City of London Police","fLrvQqOIz9do","Reported by","99"
"City of London Police","fLrvQqOIz9do","Falls within","99"
"On or near Southampton Buildings","P77DQE5SDy64","Location","99"
"City of London Police","fLrvQqOIz9do","Reported by","100"
"City of London Police","fLrvQqOIz9do","Falls within","100"
"On or near Lovat Lane","iIpKwhyoBdec","Location","100"
"City of London Police","fLrvQqOIz9do","Reported by","101"
"City of London Police","fLrvQqOIz9do","Falls within","101"
"On or near Artillery Lane","rpGBkGFkIk2l","Location","101"
"City of London Police","fLrvQqOIz9do","Reported by","102"
"City of London Police","fLrvQqOIz9do","Falls within","102"
"On or near Old Mitre Court","R6w5Q88jIH74","Location","102"
"City of London Police","fLrvQqOIz9do","Reported by","103"
"City of London Police","fLrvQqOIz9do","Falls within","103"
